cases,region,date
15,REGION V-BICOL REGION,01/10/2016
13,REGION V-BICOL REGION,17/01/2016
9,REGION V-BICOL REGION,24/01/2016
14,REGION V-BICOL REGION,31/01/2016
9,REGION V-BICOL REGION,02/07/2016
17,REGION V-BICOL REGION,14/02/2016
3,REGION V-BICOL REGION,21/02/2016
11,REGION V-BICOL REGION,28/02/2016
8,REGION V-BICOL REGION,03/06/2016
6,REGION V-BICOL REGION,13/03/2016
5,REGION V-BICOL REGION,20/03/2016
5,REGION V-BICOL REGION,27/03/2016
2,REGION V-BICOL REGION,04/03/2016
2,REGION V-BICOL REGION,04/10/2016
6,REGION V-BICOL REGION,17/04/2016
5,REGION V-BICOL REGION,24/04/2016
5,REGION V-BICOL REGION,05/01/2016
3,REGION V-BICOL REGION,05/08/2016
2,REGION V-BICOL REGION,15/05/2016
5,REGION V-BICOL REGION,22/05/2016
4,REGION V-BICOL REGION,29/05/2016
3,REGION V-BICOL REGION,06/05/2016
5,REGION V-BICOL REGION,06/12/2016
9,REGION V-BICOL REGION,19/06/2016
6,REGION V-BICOL REGION,26/06/2016
7,REGION V-BICOL REGION,07/03/2016
4,REGION V-BICOL REGION,07/10/2016
7,REGION V-BICOL REGION,17/07/2016
12,REGION V-BICOL REGION,24/07/2016
5,REGION V-BICOL REGION,31/07/2016
12,REGION V-BICOL REGION,08/07/2016
16,REGION V-BICOL REGION,14/08/2016
15,REGION V-BICOL REGION,21/08/2016
15,REGION V-BICOL REGION,28/08/2016
19,REGION V-BICOL REGION,09/04/2016
20,REGION V-BICOL REGION,09/11/2016
17,REGION V-BICOL REGION,18/09/2016
13,REGION V-BICOL REGION,25/09/2016
16,REGION V-BICOL REGION,10/02/2016
14,REGION V-BICOL REGION,10/09/2016
7,REGION V-BICOL REGION,16/10/2016
19,REGION V-BICOL REGION,23/10/2016
9,REGION V-BICOL REGION,30/10/2016
6,REGION V-BICOL REGION,11/06/2016
9,REGION V-BICOL REGION,13/11/2016
15,REGION V-BICOL REGION,20/11/2016
18,REGION V-BICOL REGION,27/11/2016
19,REGION V-BICOL REGION,12/04/2016
2,REGION V-BICOL REGION,12/11/2016
9,REGION V-BICOL REGION,18/12/2016
14,REGION V-BICOL REGION,25/12/2016
21,REGION III-CENTRAL LUZON,01/10/2016
14,REGION III-CENTRAL LUZON,17/01/2016
24,REGION III-CENTRAL LUZON,24/01/2016
22,REGION III-CENTRAL LUZON,31/01/2016
18,REGION III-CENTRAL LUZON,02/07/2016
24,REGION III-CENTRAL LUZON,14/02/2016
12,REGION III-CENTRAL LUZON,21/02/2016
21,REGION III-CENTRAL LUZON,28/02/2016
12,REGION III-CENTRAL LUZON,03/06/2016
6,REGION III-CENTRAL LUZON,13/03/2016
4,REGION III-CENTRAL LUZON,20/03/2016
10,REGION III-CENTRAL LUZON,27/03/2016
11,REGION III-CENTRAL LUZON,04/03/2016
9,REGION III-CENTRAL LUZON,04/10/2016
6,REGION III-CENTRAL LUZON,17/04/2016
1,REGION III-CENTRAL LUZON,24/04/2016
3,REGION III-CENTRAL LUZON,05/01/2016
1,REGION III-CENTRAL LUZON,05/08/2016
4,REGION III-CENTRAL LUZON,15/05/2016
7,REGION III-CENTRAL LUZON,22/05/2016
1,REGION III-CENTRAL LUZON,29/05/2016
0,REGION III-CENTRAL LUZON,06/05/2016
0,REGION III-CENTRAL LUZON,06/12/2016
0,REGION III-CENTRAL LUZON,19/06/2016
1,REGION III-CENTRAL LUZON,26/06/2016
2,REGION III-CENTRAL LUZON,07/03/2016
9,REGION III-CENTRAL LUZON,07/10/2016
5,REGION III-CENTRAL LUZON,17/07/2016
10,REGION III-CENTRAL LUZON,24/07/2016
6,REGION III-CENTRAL LUZON,31/07/2016
11,REGION III-CENTRAL LUZON,08/07/2016
19,REGION III-CENTRAL LUZON,14/08/2016
38,REGION III-CENTRAL LUZON,21/08/2016
23,REGION III-CENTRAL LUZON,28/08/2016
63,REGION III-CENTRAL LUZON,09/04/2016
53,REGION III-CENTRAL LUZON,09/11/2016
42,REGION III-CENTRAL LUZON,18/09/2016
59,REGION III-CENTRAL LUZON,25/09/2016
46,REGION III-CENTRAL LUZON,10/02/2016
41,REGION III-CENTRAL LUZON,10/09/2016
24,REGION III-CENTRAL LUZON,16/10/2016
41,REGION III-CENTRAL LUZON,23/10/2016
32,REGION III-CENTRAL LUZON,30/10/2016
49,REGION III-CENTRAL LUZON,11/06/2016
37,REGION III-CENTRAL LUZON,13/11/2016
43,REGION III-CENTRAL LUZON,20/11/2016
23,REGION III-CENTRAL LUZON,27/11/2016
16,REGION III-CENTRAL LUZON,12/04/2016
53,REGION III-CENTRAL LUZON,12/11/2016
52,REGION III-CENTRAL LUZON,18/12/2016
28,REGION III-CENTRAL LUZON,25/12/2016
37,REGION III-CENTRAL LUZON,01/10/2016
