cases,region,date
15,REGION V-BICOL REGION,2016-01-10
13,REGION V-BICOL REGION,2016-01-17
9,REGION V-BICOL REGION,2016-01-24
14,REGION V-BICOL REGION,2016-01-31
9,REGION V-BICOL REGION,2016-02-07
17,REGION V-BICOL REGION,2016-02-14
3,REGION V-BICOL REGION,2016-02-21
11,REGION V-BICOL REGION,2016-02-28
8,REGION V-BICOL REGION,2016-03-06
6,REGION V-BICOL REGION,2016-03-13
5,REGION V-BICOL REGION,2016-03-20
5,REGION V-BICOL REGION,2016-03-27
2,REGION V-BICOL REGION,2016-04-03
2,REGION V-BICOL REGION,2016-04-10
6,REGION V-BICOL REGION,2016-04-17
5,REGION V-BICOL REGION,2016-04-24
5,REGION V-BICOL REGION,2016-05-01
3,REGION V-BICOL REGION,2016-05-08
2,REGION V-BICOL REGION,2016-05-15
5,REGION V-BICOL REGION,2016-05-22
4,REGION V-BICOL REGION,2016-05-29
3,REGION V-BICOL REGION,2016-06-05
5,REGION V-BICOL REGION,2016-06-12
9,REGION V-BICOL REGION,2016-06-19
6,REGION V-BICOL REGION,2016-06-26
7,REGION V-BICOL REGION,2016-07-03
4,REGION V-BICOL REGION,2016-07-10
7,REGION V-BICOL REGION,2016-07-17
12,REGION V-BICOL REGION,2016-07-24
5,REGION V-BICOL REGION,2016-07-31
12,REGION V-BICOL REGION,2016-08-07
16,REGION V-BICOL REGION,2016-08-14
15,REGION V-BICOL REGION,2016-08-21
15,REGION V-BICOL REGION,2016-08-28
19,REGION V-BICOL REGION,2016-09-04
20,REGION V-BICOL REGION,2016-09-11
17,REGION V-BICOL REGION,2016-09-18
13,REGION V-BICOL REGION,2016-09-25
16,REGION V-BICOL REGION,2016-10-02
14,REGION V-BICOL REGION,2016-10-09
7,REGION V-BICOL REGION,2016-10-16
19,REGION V-BICOL REGION,2016-10-23
9,REGION V-BICOL REGION,2016-10-30
6,REGION V-BICOL REGION,2016-11-06
9,REGION V-BICOL REGION,2016-11-13
15,REGION V-BICOL REGION,2016-11-20
18,REGION V-BICOL REGION,2016-11-27
19,REGION V-BICOL REGION,2016-12-04
2,REGION V-BICOL REGION,2016-12-11
9,REGION V-BICOL REGION,2016-12-18
14,REGION V-BICOL REGION,2016-12-25
21,REGION III-CENTRAL LUZON,2016-01-10
14,REGION III-CENTRAL LUZON,2016-01-17
24,REGION III-CENTRAL LUZON,2016-01-24
22,REGION III-CENTRAL LUZON,2016-01-31
18,REGION III-CENTRAL LUZON,2016-02-07
24,REGION III-CENTRAL LUZON,2016-02-14
12,REGION III-CENTRAL LUZON,2016-02-21
21,REGION III-CENTRAL LUZON,2016-02-28
12,REGION III-CENTRAL LUZON,2016-03-06
6,REGION III-CENTRAL LUZON,2016-03-13
4,REGION III-CENTRAL LUZON,2016-03-20
10,REGION III-CENTRAL LUZON,2016-03-27
11,REGION III-CENTRAL LUZON,2016-04-03
9,REGION III-CENTRAL LUZON,2016-04-10
6,REGION III-CENTRAL LUZON,2016-04-17
1,REGION III-CENTRAL LUZON,2016-04-24
3,REGION III-CENTRAL LUZON,2016-05-01
1,REGION III-CENTRAL LUZON,2016-05-08
4,REGION III-CENTRAL LUZON,2016-05-15
7,REGION III-CENTRAL LUZON,2016-05-22
1,REGION III-CENTRAL LUZON,2016-05-29
0,REGION III-CENTRAL LUZON,2016-06-05
0,REGION III-CENTRAL LUZON,2016-06-12
0,REGION III-CENTRAL LUZON,2016-06-19
1,REGION III-CENTRAL LUZON,2016-06-26
2,REGION III-CENTRAL LUZON,2016-07-03
9,REGION III-CENTRAL LUZON,2016-07-10
5,REGION III-CENTRAL LUZON,2016-07-17
10,REGION III-CENTRAL LUZON,2016-07-24
6,REGION III-CENTRAL LUZON,2016-07-31
11,REGION III-CENTRAL LUZON,2016-08-07
19,REGION III-CENTRAL LUZON,2016-08-14
38,REGION III-CENTRAL LUZON,2016-08-21
23,REGION III-CENTRAL LUZON,2016-08-28
63,REGION III-CENTRAL LUZON,2016-09-04
53,REGION III-CENTRAL LUZON,2016-09-11
42,REGION III-CENTRAL LUZON,2016-09-18
59,REGION III-CENTRAL LUZON,2016-09-25
46,REGION III-CENTRAL LUZON,2016-10-02
41,REGION III-CENTRAL LUZON,2016-10-09
24,REGION III-CENTRAL LUZON,2016-10-16
41,REGION III-CENTRAL LUZON,2016-10-23
32,REGION III-CENTRAL LUZON,2016-10-30
49,REGION III-CENTRAL LUZON,2016-11-06
37,REGION III-CENTRAL LUZON,2016-11-13
43,REGION III-CENTRAL LUZON,2016-11-20
23,REGION III-CENTRAL LUZON,2016-11-27
16,REGION III-CENTRAL LUZON,2016-12-04
