Year,Months,Value
1970,Annual value,5.904349999
1970,January,3.900000003
1970,February,4.204299999
1970,March,6.096199999
1970,April,6.162799999
1970,May,6.121299999
1970,June,6.192399999
1970,July,6.230299999
1970,August,6.269499999
1970,September,6.370399999
1970,October,6.434999999
1970,November,6.434999999
1970,December,6.434999999
1971,Annual value,6.431708332
1971,January,6.434999999
1971,February,6.434999999
1971,March,6.434999999
1971,April,6.434999999
1971,May,6.434999999
1971,June,6.434999999
1971,July,6.434999999
1971,August,6.424499999
1971,September,6.410499999
1971,October,6.432399999
1971,November,6.433099999
1971,December,6.434999999
1972,Annual value,6.674841666
1972,January,6.434999999
1972,February,6.434999999
1972,March,6.434999999
1972,April,6.574899999
1972,May,6.7674
1972,June,6.771799999
1972,July,6.777799999
1972,August,6.779499999
1972,September,6.779499999
1972,October,6.781199999
1972,November,6.780599999
1972,December,6.780399999
1973,Annual value,6.756283332
1973,January,6.781399999
1973,February,6.776199999
1973,March,6.771899999
1973,April,6.766199999
1973,May,6.763199999
1973,June,6.759199999
1973,July,6.758299999
1973,August,6.746699999
1973,September,6.739199999
1973,October,6.739599999
1973,November,6.738199999
1973,December,6.735299999
1974,Annual value,6.787874999
1974,January,6.730999999
1974,February,6.718899999
1974,March,6.723399999
1974,April,6.7218
1974,May,6.7176
1974,June,6.7157
1974,July,6.734599999
1974,August,6.742799999
1974,September,6.747299999
1974,October,6.772399999
1974,November,7.0665
1974,December,7.0625
1975,Annual value,7.247899999
1975,January,7.066399999
1975,February,7.052199999
1975,March,7.026099999
1975,April,7.017699999
1975,May,7.017799999
1975,June,7.014999999
1975,July,7.271899999
1975,August,7.501799999
1975,September,7.509099999
1975,October,7.500099999
1975,November,7.497499999
1975,December,7.499199999
1976,Annual value,7.440258332
1976,January,7.485599999
1976,February,7.469299999
1976,March,7.458299999
1976,April,7.435399999
1976,May,7.430399999
1976,June,7.430899999
1976,July,7.429799999
1976,August,7.429699999
1976,September,7.428999999
1976,October,7.428299999
1976,November,7.428199999
1976,December,7.428199999
1977,Annual value,7.402824999
1977,January,7.427899999
1977,February,7.427199999
1977,March,7.426199999
1977,April,7.410899999
1977,May,7.404899999
1977,June,7.398099999
1977,July,7.396099999
1977,August,7.393999999
1977,September,7.393399999
1977,October,7.389199999
1977,November,7.386899999
1977,December,7.379099999
1978,Annual value,7.365758333
1978,January,7.371499999
1978,February,7.371499999
1978,March,7.373499999
1978,April,7.366799999
1978,May,7.363499999
1978,June,7.363199999
1978,July,7.3609
1978,August,7.361699999
1978,September,7.361299999
