DATE,Retail_Sales
01/01/1992,1744
02/01/1992,1990
03/01/1992,2177
04/01/1992,2601
05/01/1992,2171
06/01/1992,2207
07/01/1992,2251
08/01/1992,2087
09/01/1992,2016
10/01/1992,2149
11/01/1992,1667
12/01/1992,1583
01/01/1993,2022
02/01/1993,2199
03/01/1993,2526
04/01/1993,2564
05/01/1993,2309
06/01/1993,2393
07/01/1993,2485
08/01/1993,2287
09/01/1993,2167
10/01/1993,2339
11/01/1993,2253
12/01/1993,2060
01/01/1994,2199
02/01/1994,2432
03/01/1994,2669
04/01/1994,2782
05/01/1994,2638
06/01/1994,2769
07/01/1994,2774
08/01/1994,3119
09/01/1994,2887
10/01/1994,3136
11/01/1994,2564
12/01/1994,2470
01/01/1995,2709
02/01/1995,2833
03/01/1995,3296
04/01/1995,2998
05/01/1995,3180
06/01/1995,3303
07/01/1995,3492
08/01/1995,3445
09/01/1995,3223
10/01/1995,3074
11/01/1995,2931
12/01/1995,2558
01/01/1996,2871
02/01/1996,3451
03/01/1996,4046
04/01/1996,3879
05/01/1996,3727
06/01/1996,3538
07/01/1996,3571
08/01/1996,3511
09/01/1996,3221
10/01/1996,3526
11/01/1996,3262
12/01/1996,3006
01/01/1997,3377
02/01/1997,3834
03/01/1997,4089
04/01/1997,4115
05/01/1997,4022
06/01/1997,4088
07/01/1997,4066
08/01/1997,3864
09/01/1997,3741
10/01/1997,3822
11/01/1997,3294
12/01/1997,3374
01/01/1998,3681
02/01/1998,4154
03/01/1998,4523
04/01/1998,4400
05/01/1998,4356
06/01/1998,4723
07/01/1998,4535
08/01/1998,4476
09/01/1998,4138
10/01/1998,4535
11/01/1998,3730
12/01/1998,3691
01/01/1999,4115
02/01/1999,4597
03/01/1999,4921
04/01/1999,4824
05/01/1999,4950
06/01/1999,5047
07/01/1999,4895
08/01/1999,4892
09/01/1999,4509
10/01/1999,4516
11/01/1999,4292
12/01/1999,4095
01/01/2000,4381
02/01/2000,5327
03/01/2000,5434
04/01/2000,4841
05/01/2000,4986
06/01/2000,5161
07/01/2000,4989
08/01/2000,5089
09/01/2000,4860
10/01/2000,4574
11/01/2000,4089
12/01/2000,3928
01/01/2001,4648
02/01/2001,4917
03/01/2001,5359
04/01/2001,4991
05/01/2001,5390
06/01/2001,5169
07/01/2001,4906
08/01/2001,5142
09/01/2001,4291
10/01/2001,4903
11/01/2001,4444
12/01/2001,4103
01/01/2002,4802
02/01/2002,5226
03/01/2002,5212
04/01/2002,5260
05/01/2002,5342
06/01/2002,5199
07/01/2002,5229
08/01/2002,5542
09/01/2002,4855
10/01/2002,5143
11/01/2002,4736
12/01/2002,4377
01/01/2003,5209
02/01/2003,5477
03/01/2003,5877
04/01/2003,5572
05/01/2003,5586
06/01/2003,5324
07/01/2003,5466
08/01/2003,5494
09/01/2003,5072
10/01/2003,5014
11/01/2003,4528
12/01/2003,4436
01/01/2004,5053
02/01/2004,5538
03/01/2004,6055
04/01/2004,5564
05/01/2004,5882
06/01/2004,5548
07/01/2004,5773
08/01/2004,5948
09/01/2004,5546
10/01/2004,5785
11/01/2004,5481
12/01/2004,5348
01/01/2005,5803
02/01/2005,6480
03/01/2005,6602
04/01/2005,6036
05/01/2005,5955
06/01/2005,6018
07/01/2005,6080
08/01/2005,6419
09/01/2005,5684
10/01/2005,5597
11/01/2005,5325
12/01/2005,5125
01/01/2006,5811
02/01/2006,6245
03/01/2006,7009
04/01/2006,6470
05/01/2006,6638
